movie_id,title,stripped_title,release_year,imdb_id,date_added
506e157b-7ccd-45e2-85d6-f8702837bb7c,Modern Times,moderntimes,1936,tt0027977,2023-03-11 22:07:45.378075
5bb3f2bd-7098-4387-8f8d-45e03dddcef5,Once Upon a Time in the West,onceuponatimeinthewest,1968,tt0064116,2023-03-11 22:07:45.378979
f13a2689-65d8-46a6-8425-c509409008d8,Cinema Paradiso,cinemaparadiso,1988,tt0095765,2023-03-11 22:07:45.379901
a7e614cc-285c-4da3-ae96-ada958dac40b,Rear Window,rearwindow,1954,tt0047396,2023-03-11 22:07:45.380856
115a8d2a-a565-4685-87b7-0d7def1277e2,Alien,alien,1979,tt0078748,2023-03-11 22:07:45.381693
ab507ace-ab3b-4fb5-8fa1-108d775f58e2,City Lights,citylights,1931,tt0021749,2023-03-11 22:07:45.382682
16115998-7b2b-48a1-b364-b1be47c0fef7,Apocalypse Now,apocalypsenow,1979,tt0078788,2023-03-11 22:07:45.383585
13ee2ce6-22b0-473b-b3ac-6c8990294b1b,Memento,memento,2000,tt0209144,2023-03-11 22:07:45.384583
620e0b4e-f1f1-49d8-ab69-71f9e4099517,Django Unchained,djangounchained,2012,tt1853728,2023-03-11 22:07:45.385514
4d112bfe-baf5-455a-91d6-feafe0093a2e,Raiders of the Lost Ark,raidersofthelostark,1981,tt0082971,2023-03-11 22:07:45.386472
616137be-aaa1-4126-b12f-70a09dd3eaaa,WALL·E,walle,2008,tt0910970,2023-03-11 22:07:45.387401
93a8f1f9-2393-4e07-8ba3-b1fa79c84e53,The Lives of Others,thelivesofothers,2006,tt0405094,2023-03-11 22:07:45.388529
a10aa378-1bc9-4fc0-875e-6682f10ab350,Sunset Blvd.,sunsetblvd,1950,tt0043014,2023-03-11 22:07:45.389459
fc67cd36-d418-416c-a4f9-95c8399f89f0,Paths of Glory,pathsofglory,1957,tt0050825,2023-03-11 22:07:45.390358
247c315c-fd07-419e-8d38-82fcf94550a2,The Shining,theshining,1980,tt0081505,2023-03-11 22:07:45.391235
19669a00-c79e-4c8b-8280-5f8850e9aa80,The Great Dictator,thegreatdictator,1940,tt0032553,2023-03-11 22:07:45.392102
c28e7c09-b8bd-4b19-acb2-4548c26f9b91,Avengers: Infinity War,avengersinfinitywar,2018,tt4154756,2023-03-11 22:07:45.393052
706e703d-0192-4701-99dc-1782f24c6c2a,Witness for the Prosecution,witnessfortheprosecution,1957,tt0051201,2023-03-11 22:07:45.393950
