clue_id,movie_id,category_id,clue_text,spoiler,date_created
1443c452-4b52-44d0-993c-8bae8bfd0aeb,b2d3223b-dd60-4478-a1c8-a36f305020dd,4,Prisoners deal cigarettes secretly among the bedsheets.,false,2023-03-11 22:08:07.818898
0610054e-af72-43b1-a653-d40f5a56e798,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,The movie can be sometimes harsh and dark in tone.,false,2023-03-11 22:08:07.819798
e7805828-5de9-498e-b864-dc42c509c383,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,"Prisoners torment and verbally attack new people who've just arrived, their reactions can be a bit difficult to watch as they scream and cry.",false,2023-03-11 22:08:07.820766
a84a6810-d08a-469b-95d0-2d4013aa974e,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,The beatings may be intense to many. There are moments of moderate threat when characters are threatened (normally by guards).,false,2023-03-11 22:08:07.821650
5d73bb93-2d46-42ee-be34-32b351565e96,b2d3223b-dd60-4478-a1c8-a36f305020dd,5,"The prison rape elements could be distressing but, it is never shown just vaguely implied and briefly referenced.",false,2023-03-11 22:08:07.822487
5cc8c2e9-0c63-4e1a-b2e9-91b945abd388,b2d3223b-dd60-4478-a1c8-a36f305020dd,1,It is heavily implied that a character is raped many times over the course of his imprisonment. We never see the act but it is talked about and we see his attackers beat him up beforehand.,true,2023-03-11 22:08:07.823422
d18baf41-03c8-46cc-8489-fede07a8fb6c,b2d3223b-dd60-4478-a1c8-a36f305020dd,1,At the beginning we see two people having sex there is no nudity only thrusting and moaning. Another scene in the prison there is male nudity from prisoners in the shower however no genitalia is ever seen .,true,2023-03-11 22:08:07.824397
fddba119-5166-4168-8342-bb1742c10af1,b2d3223b-dd60-4478-a1c8-a36f305020dd,1,"After Andy gets more ""well known"" in the prison, the other prisoners start giving him pictures of attractive female celebrities for him to hang on his wall.",true,2023-03-11 22:08:07.825507
2a4fcfae-3baa-46e0-a1e0-6abc09c56f9d,b2d3223b-dd60-4478-a1c8-a36f305020dd,2,"A man is splashed with sewage, then crawls through the sewer pipe. The narration states that the sewage is excrement.",true,2023-03-11 22:08:07.826448
e16859f8-2cb6-414e-9aa9-13aa2a11a3f4,b2d3223b-dd60-4478-a1c8-a36f305020dd,2,"There is a scene where we see a man get beaten by prison guards, he screams and starts crying. It is later told he died from this beating",true,2023-03-11 22:08:07.827493
